"","Nimi","Punktid15","Punktid16","Punktid17","Punktid18","pkokku"
"761","HARUKI CRT (2013)","0","0","14","19",33
"435","DOOMOHR (2008)","1","9","5","17.7",32.7
"497","POP STAR (2010)","0.5","4","23","5",32.5
"558","FERDINAND A (2010)","0","19","0","13",32
"559","RIVIERA LUNETTE (2009)","0","19","7","6",32
"847","WEST PARK-S (2012)","0","0","2","30",32
"566","MUST DE LISON (2012)","0","16.8","11","4",31.8
"723","CHARLOTTE (2011)","0","0","31.6","0",31.6
"504","ROYAL HARRI (2007)","0.5","12","10","9",31.5
"123","BINGO (2001)","31","0","0","0",31
"203","LE BEAU VH BEECKHOF (2011)","11","20","0","0",31
"352","SUSI (2009)","3","27","1","0",31
"424","AMELIE T.B. (2005)","1","0","18","12",31
"574","COSTNER (2010)","0","14","17","0",31
"755","KISS IN VEGAS (2010)","0","0","16","15",31
"220","ZINGA ZANGA (2007)","10","14","1","5",30
"330","CLAUDINA (2011)","3","27","0","0",30
"355","ZIMBAB (2011)","3","12","15","0",30
"403","UZZI (2005)","2","0","2","26",30
"900","CONTE CASSIDY (2013)","0","0","0","30",30
"901","ETON (2014)","0","0","0","30",30
"902","MOMENTUM (2012)","0","0","0","30",30
"131","BOY BUTTERFLY (2004)","29.8","0","0","0",29.8
"132","LISTRA (1998)","29","0","0","0",29
"279","CHEDAR (2010)","5","24","0","0",29
"337","OBERON (2009)","3","13","5","8",29
"397","NONSENS K (2006)","2","7","14","6",29
"436","ELINNEKE (2009)","1","11","17","0",29
"235","CORINA (2003)","8","20.5","0","0",28.5
"133","AGATHE (2009)","28","0","0","0",28
"233","ASPIRIN (2011)","8","2","4","14",28
"246","ARTIK (2005)","7","17","3","1",28
"607","SANTOS (2011)","0","6","16","6",28
"658","CATINKA (2010)","0","1","2","25",28
"757","WANESSA (2007, SP)","0","0","16","12",28
"903","KARLINA (2011)","0","0","0","28",28
"904","SENTINEL (2013)","0","0","0","28",28
"572","HERZOG VON LOMA (2012)","0","15.6","12","0",27.6
"140","AREZZO (2003)","25","1","1","0",27
"252","OMELISSA S (2006)","7","7","9","4",27
"603","KAMARINO (2011)","0","6","18","3",27
"732","QUERIDO MIO (2012)","0","0","24","3",27
"156","WISPHER ""D"" (1999)","20.5","3","3","0",26.5
"228","BOORA (2008)","8.5","17","0","1",26.5
"361","LOUIZIANA (2010)","2.5","23","1","0",26.5
"327","ATMOS (2011)","3","22","1","0",26
"447","MOORION (2003)","1","1","10","14",26
"727","WICTORIA (2011)","0","0","26","0",26
"738","PANKRAAT (2012)","0","0","22","4",26
"832","C-AND-B (2011)","0","0","2","24",26
"872","SILVER MELODY (2011)","0","0","1","25",26
"905","EUROSTAR (2013)","0","0","0","26",26
"448","OBORA`S GRACIA (2007)","1","0","2","22.6",25.6
"325","PIIGA (2001)","3.5","22","0","0",25.5
"181","HELLO KITTY (2009)","15","10","0","0",25
"599","LA VAWETTA (2007)","0","7","18","0",25
"729","GILMORE (2011)","0","0","25","0",25
"736","CHAD CL (2012)","0","0","22","3",25
"806","HENRIETTE (2013)","0","0","6","19",25
"906","CHA-CHA (2007)","0","0","0","25",25
"907","DIM SUM (2008)","0","0","0","25",25
"364","ALEJANDRO (2010)","2","13","6","3",24
"737","CHOPIN (2011)","0","0","22","2",24
"769","LARINA (2009)","0","0","11","13",24
"908","KARREERA (2011)","0","0","0","24",24
"909","POWER BOY (2010)","0","0","0","24",24
"816","ROMOS CELINE (2008)","0","0","5","18.8",23.8
"396","MONSSON (2010, SP)","2","17.4","3","1",23.4
"196","PATRONS (2005)","12","9","2","0",23
"444","KUVVAT (2001)","1","22","0","0",23
"602","CENDORIA S (2007)","0","6","3","14",23
"623","FEMME (2007)","0","3","20","0",23
"733","BAHHE (2011)","0","0","23","0",23
"742","SILVER BOY (2011)","0","0","20","3",23
"756","LAETIZIA (2008)","0","0","16","7",23
"810","KISMET (2012)","0","0","6","17",23
"474","BONITA (2006)","0.5","10","12","0",22.5
"500","QUICKSTEP (2011)","0.5","16","5","1",22.5
"300","CAIKORS (2007)","4","2","2","14",22
"342","ORPHEUS (2007)","3","17","1","1",22
"487","GRENARDI (2009)","0.5","7.5","6","8",22
"554","LADROS (2005)","0","22","0","0",22
"910","EGOTRIP (2014)","0","0","0","22",22
"911","HEBRINNA (2013)","0","0","0","22",22
"912","QUENTIN TARANTINO RP (2014)","0","0","0","22",22
"913","VERMONT (2013)","0","0","0","22",22
"232","ANTROPOFF (2008)","8","9.5","2","2",21.5
"253","PICANTO (2007)","7","14.5","0","0",21.5
"153","COPHERFILD (2005)","21","0","0","0",21
